# Temp | Density   | Ratio | M_scale
# -----|-----------|-------|--------
6.17   |1.65e+16   |   5.49|  6.7
6.58   |1.71e+16   |   5.67|  6.8
4.95   |2.50e+16   |   6.52| 11.3
5.30   |2.05e+16   |   6.42| 10.6
6.01   |8.44e+15   |   5.22|  5.8
6.41   |8.78e+15   |   5.32|  5.8
4.92   |1.06e+16   |   5.58|  7.7
4.65   |6.89e+15   |   5.22|  6.6
5.13   |5.29e+15   |   5.23|  6.3
6.38   |2.54e+16   |   5.64|  7.0
6.14   |1.44e+16   |   5.17|  5.6
5.95   |6.17e+15   |   4.94|  5.0
5.12   |3.18e+15   |   4.73|  4.7
4.81   |2.36e+15   |   4.73|  5.1
5.13   |2.41e+15   |   4.88|  5.1
4.64   |6.66e+15   |   5.22|  6.3
4.96   |5.17e+15   |   5.27|  6.5
4.57   |2.29e+15   |   4.67|  4.8
4.73   |2.77e+15   |   4.64|  4.5
5.09   |2.99e+15   |   4.73|  4.7
4.61   |6.92e+15   |   5.12|  6.2
4.81   |6.66e+15   |   5.16|  6.5
4.87   |5.11e+15   |   5.21|  6.4
4.83   |5.18e+15   |   5.21|  6.6
4.89   |7.33e+15   |   5.67|  8.1
4.83   |3.78e+15   |   5.31|  6.9
4.88   |2.15e+15   |   5.12|  6.0
5.96   |1.39e+15   |   5.00|  5.1
3.88   |2.02e+16   |   6.51| 12.2
4.13   |1.35e+16   |   6.02| 10.0
4.07   |7.38e+15   |   5.47|  7.9
3.81   |4.11e+15   |   5.05|  6.8
4.52   |1.68e+16   |   6.48| 11.2
5.08   |1.13e+16   |   6.01|  9.5
5.16   |5.91e+15   |   5.46|  6.9
4.43   |3.29e+15   |   5.16|  6.8
5.39   |1.13e+16   |   6.20|  9.6
5.70   |7.52e+15   |   5.80|  7.9
5.64   |7.25e+15   |   5.83|  8.3
5.13   |4.22e+15   |   5.42|  6.7
5.31   |4.17e+15   |   5.40|  6.8
4.15   |2.72e+15   |   5.20|  7.1
4.15   |2.60e+15   |   5.18|  6.7
5.81   |1.17e+16   |   6.18|  8.9
4.05   |1.33e+16   |   6.16| 10.4
