# Temp (826)   |  Temp (852)
 4.89189189    |  5.04804805
 4.87237237    |  5.00900901
 5.16516517    |  4.93093093
 5.10660661    |  4.93093093
 4.95045045    |  5.10660661
 4.91141141    |  5.06756757
 4.87237237    |  4.98948949
 4.95045045    |  5.04804805
 4.95045045    |  5.06756757
 4.87237237    |  5.00900901
 4.96996997    |  5.12612613
 5.08708709    |  5.2042042
 5.26276276    |  5.26276276
 5.26276276    |  5.26276276
 5.12612613    |  5.2042042
 4.95045045    |  5.06756757
 4.93093093    |  5.04804805
 5.32132132    |  5.32132132
 5.36036036    |  5.32132132
 5.26276276    |  5.26276276
 4.98948949    |  5.08708709
 4.96996997    |  5.08708709
 4.95045045    |  5.06756757
 4.95045045    |  5.06756757
 4.87237237    |  4.98948949
 4.91141141    |  5.04804805
 4.98948949    |  5.08708709
 5.04804805    |  5.10660661
 5.14564565    |  4.95045045
 4.93093093    |  4.93093093
 4.89189189    |  4.98948949
 5.02852853    |  5.06756757
 5.12612613    |  4.93093093
 4.93093093    |  4.95045045
 4.89189189    |  5.00900901
 4.96996997    |  5.06756757
 4.98948949    |  4.93093093
 4.89189189    |  4.95045045
 4.89189189    |  4.95045045
 4.89189189    |  5.02852853
 4.89189189    |  5.02852853
 4.95045045    |  5.06756757
 4.95045045    |  5.06756757
 4.98948949    |  4.93093093
 4.96996997    |  4.93093093
