# Temp | Density  | Ratio | M_scale
# -----|----------|-------|--------
6.17   | 1.65e+16 | 5.95  |  8.7
6.58   | 1.71e+16 | 6.15  |  9.1
4.95   | 2.50e+16 | 7.47  | 13.5
5.30   | 2.05e+16 | 7.29  | 12.8
6.01   | 8.44e+15 | 5.67  |  8.1
6.41   | 8.78e+15 | 5.80  |  8.1
4.92   | 1.06e+16 | 6.26  | 10.2
4.65   | 6.89e+15 | 5.91  |  9.2
5.13   | 5.29e+15 | 5.86  |  8.7
6.38   | 2.54e+16 | 6.13  |  9.1
6.14   | 1.44e+16 | 5.58  |  7.9
5.95   | 6.17e+15 | 5.34  |  7.1
5.12   | 3.18e+15 | 5.18  |  6.9
4.81   | 2.36e+15 | 5.19  |  7.1
5.13   | 2.41e+15 | 5.37  |  7.5
4.64   | 6.66e+15 | 5.88  |  9.2
4.96   | 5.17e+15 | 5.90  |  9.1
4.57   | 2.29e+15 | 5.04  |  6.8
4.73   | 2.77e+15 | 5.03  |  6.8
5.09   | 2.99e+15 | 5.18  |  6.9
4.61   | 6.92e+15 | 5.72  |  8.6
4.81   | 6.66e+15 | 5.76  |  8.9
4.87   | 5.11e+15 | 5.81  |  8.9
4.83   | 5.18e+15 | 5.82  |  9.1
4.89   | 7.33e+15 | 6.30  | 10.2
4.83   | 3.78e+15 | 5.93  |  9.4
4.88   | 2.15e+15 | 5.75  |  8.8
5.96   | 1.39e+15 | 5.70  |  8.2
3.88   | 2.02e+16 | 7.55  | 14.5
4.13   | 1.35e+16 | 6.89  | 12.4
4.07   | 7.38e+15 | 6.21  | 10.3
3.81   | 4.11e+15 | 5.82  |  9.6
4.52   | 1.68e+16 | 7.31  | 13.2
5.08   | 1.13e+16 | 6.78  | 11.5
5.16   | 5.91e+15 | 6.13  |  9.5
4.43   | 3.29e+15 | 5.88  |  9.6
5.39   | 1.13e+16 | 6.91  | 11.6
5.70   | 7.52e+15 | 6.55  | 10.4
5.64   | 7.25e+15 | 6.53  | 10.6
5.13   | 4.22e+15 | 6.07  |  9.4
5.31   | 4.17e+15 | 6.07  |  9.4
4.15   | 2.72e+15 | 5.88  |  9.6
4.15   | 2.60e+15 | 5.87  |  9.4
5.81   | 1.17e+16 | 6.96  | 11.4
4.05   | 1.33e+16 | 7.09  | 12.8
